City,State,Latitude,Longitude
BUFORD,GA,34.1206564,-84.0043513
BYRON,GA,44.03901805,-92.64903495
DARIEN,GA,41.0787079,-73.4692873
DECATUR,GA,34.623709,-87.06705096
DULUTH,GA,46.7729322,-92.1251218
EAST POINT,GA,33.6795531,-84.4393724
ELBERTON,GA,34.1112226,-82.8670839
ELLIJAY,GA,34.6950278,-84.4827394
EVANS,GA,40.3763701,-104.6921874
FOREST PARK,GA,41.8794758,-87.81367
FORT BENNING,GA,32.3523691,-84.9688191
FORT GORDON,GA,33.420972,-82.1620645
FORT STEWART,GA,31.8694349,-81.6077657
GROVETOWN,GA,33.4504157,-82.1981764
HARDWICK,GA,43.774851,-96.19932
HINESVILLE,GA,31.8477298,-81.5960354
JOHNS CREEK,GA,34.0181557,-84.190196
KENNESAW,GA,34.0234337,-84.6154897
KINGS BAY,GA,25.6373263,-80.3011631
LAWRENCEVILLE,GA,33.9562149,-83.9879625
LUDOWICI,GA,31.7097964,-81.7430846
MACON,GA,32.8406946,-83.6324022
MARIETTA,GA,33.9528472,-84.5496148
MARTINEZ,GA,38.0138934,-122.1338674
MCDONOUGH,GA,40.4376858,-90.6780272
MOODY AFB,GA,30.9665427,-83.18941278
MORROW,GA,33.5831662,-84.3393683
NORCROSS,GA,33.9412127,-84.2135309
PEACHTREE CITY,GA,33.3967829,-84.5957629
PEACHTREE CORNERS,GA,33.9701009,-84.2215869
ROSWELL,GA,34.02332,-84.360022
SMYRNA,GA,39.2998339,-75.6046494
SUWANEE,GA,34.0514898,-84.0712997
SYLVANIA,GA,34.5623077,-85.8124715
WARNER ROBINS,GA,32.6200973,-83.606568
BARRIGADA,GU,13.4635155,144.7991204
SIOUX CITY,IA,42.4966815,-96.4058782
HINES,IL,43.5640385,-119.0810482
VERNON HILLS,IL,42.2204892,-87.9803604
WICHITA,KS,37.6922361,-97.3375448
LEXINGTON,KY,38.0464066,-84.4970393
LOUISVILLE,KY,38.2542376,-85.759407
BOSTON,MA,42.3602534,-71.0582912
LEXINGTON,MA,42.4473175,-71.2245003
WESTBOROUGH,MA,42.2694308,-71.6129907
ANDREWS AFB,MD,38.8056605,-76.87740312
ANNAPOLIS,MD,38.9786401,-76.492786
BALTIMORE,MD,39.2908816,-76.610759
BETHESDA,MD,38.9819845,-77.12423413
BOWIE,MD,38.9429659,-76.731234
CLARKSVILLE,MD,39.2065447,-76.9429182
COLUMBIA,MD,39.19391955,-76.87477229
CROFTON,MD,39.0017772,-76.6874671
FORT GEORGE G MEADE,MD,39.10476315,-76.74727876
GAITHERSBURG,MD,39.1434406,-77.2013705
HANOVER,MD,39.1928853,-76.7241371
NORTH BETHESDA,MD,39.0461292,-77.1130097
PATUXENT RIVER,MD,38.8142728,-76.7117773
ROCKVILLE,MD,39.0840054,-77.1527573
SILVER SPRING,MD,38.9959461,-77.0276231
UPPER MARLBORO,MD,38.8165274,-76.7519753
HOLLAND,MI,42.7876022,-86.1090828
ZEELAND,MI,42.8124349,-86.0288167
MINNETONKA,MN,44.9127229,-93.499059
MARYLAND HEIGHTS,MO,38.7150511,-90.435999
SAINT LOUIS,MO,38.6529545,-90.24111656
VICKSBURG,MS,32.3528418,-90.8777342
FORT BRAGG,NC,35.1422775,-78.99872789
OTTO,NC,35.0600921,-83.3876547
LINCOLN,NE,40.8088861,-96.7077751
BASKING RIDGE,NJ,40.7064088,-74.5492725
MANASQUAN,NJ,40.126226,-74.049304
TOTOWA,NJ,40.9050988,-74.2098679
SANTA FE,NM,35.6869996,-105.9377997
BUFFALO,NY,42.8867166,-78.8783922
HICKSVILLE,NY,40.7684331,-73.5251253
NEW YORK,NY,40.7127281,-74.0060152
ROCHESTER,NY,43.157285,-77.615214
WARWICK,NY,41.256483,-74.3598755
CINCINNATI,OH,39.1014537,-84.5124602
FAIRBORN,OH,39.8208998,-84.0193858
WRIGHT PATTERSON AFB,OH,39.8071,-84.0697
CHICKASHA,OK,35.052565,-97.9364326
FORT SILL,OK,34.6809319,-98.57088468
NORMAN,OK,35.2225717,-97.4394816
OKLAHOMA CITY,OK,35.4729886,-97.5170536
BEAVERTON,OR,45.4871723,-122.80378
PORTLAND,OR,45.5202471,-122.6741949
AMBLER,PA,40.2385223,-75.22729931
EAST GREENVILLE,PA,31.8295972,-86.6177517
EXTON,PA,40.0349501,-75.63177815
PHILADELPHIA,PA,39.9527237,-75.1635262
BARRINGTON,RI,42.1539141,-88.1361888
PROVIDENCE,RI,41.8239891,-71.4128343
AIKEN,SC,33.5598586,-81.721952
COLUMBIA,SC,34.0007493,-81.0343313
HANAHAN,SC,32.9138914,-80.0088359
NORTH CHARLESTON,SC,32.9131295,-80.0629982
DAKOTA DUNES,SD,42.4874948,-96.48642
MANCHESTER,TN,35.4817432,-86.0885993
BRYAN,TX,30.6743643,-96.3699632
GARLAND,TX,32.912624,-96.6388833
HOUSTON,TX,29.7589382,-95.3676974
ROUND ROCK,TX,30.508235,-97.6788934
SAN ANTONIO,TX,29.4246002,-98.4951405
MIDVALE,UT,40.6110589,-111.8999353
ALEXANDRIA,VA,38.8051095,-77.0470229
ARLINGTON,VA,32.701939,-97.10562379
ASHBURN,VA,39.0437192,-77.4874899
CENTREVILLE,VA,39.2190508,-121.0610457
CHANTILLY,VA,38.8941543,-77.4311513
CHARLOTTESVILLE,VA,38.029306,-78.4766781
CHESAPEAKE,VA,36.7183708,-76.2466798
DUMFRIES,VA,38.5676202,-77.3280382
FAIRFAX,VA,38.8462236,-77.3063733
FALLS CHURCH,VA,38.882334,-77.1710914
HERNDON,VA,39.909726,-100.785153
LANGLEY AFB,VA,37.08751425,-76.35722239
LOVETTSVILLE,VA,39.2724309,-77.6363426
MANASSAS,VA,38.7509488,-77.4752667
MC LEAN,VA,29.672913,-95.360021
MCLEAN,VA,40.4631789,-88.8196613
RESTON,VA,38.9583737,-77.3579805
VIENNA,VA,38.9013729,-77.2651762
VIRGINIA BEACH,VA,36.8529841,-75.9774183
LA CENTER,WA,45.8638734,-122.6685771
REDMOND,WA,47.6694141,-122.1238767
TACOMA,WA,47.2495798,-122.4398746
HARTLAND,WI,43.105008,-88.3420398
WAUWATOSA,WI,43.0494122,-88.0079271
CLARKSBURG,WV,39.2806451,-80.3445341
MORGANTOWN,WV,39.6296809,-79.9559437
CHEYENNE,WY,41.139981,-104.820246
CAMP H M SMITH,HI,21.38614854,-157.909915
